item_id 名字 等级 职业 
1002178 绿防风帽 35 8
1002179 褐防风帽 35 8
1002180 黑防风帽 35 8
1002181 红海盗头巾 40 8
1002182 蓝海盗头巾 40 8
1002183 绿海盗头巾 40 8
1002184 褐海盗头巾 40 8
1002185 黑海盗头巾 40 8
1002207 红黑太阳帽 50 8
1002208 蓝黑太阳帽 50 8
1002209 绿黑太阳帽 50 8
1002210 黄黑太阳帽 50 8
1002211 蓝贵族软帽 50 4
1002212 红贵族软帽 50 4
1002213 绿贵族软帽 50 4
1002214 黑贵族软帽 50 4
1002215 火黃金法冠 50 2
1002216 水黃金法冠 50 2
1002217 土黃金法冠 50 2
1002218 黑黃金法冠 50 2
1002242 红和平之帽 60 2
1002243 蓝和平之帽 60 2
1002244 绿和平之帽 60 2
1002245 白和平之帽 60 2
1002246 黑和平之帽 60 2
1002247 青铜忍者头巾 60 8
1002248 银忍者头巾 60 8
1002249 黑忍者头巾 60 8
1002252 红神圣之冠 70 2
1002253 蓝神圣之冠 70 2
1002254 黑神圣之冠 70 2
1002267 赤弓羽 60 4
1002268 黄弓羽 60 4
1002269 白弓羽 60 4
1002270 黑弓羽 60 4
1002271 绿十字帽 80 2
1002272 蓝十字帽 80 2
1002273 紫十字帽 80 2
1002274 黑十字帽 80 2
1002275 蓝黄金翼帽 80 4
1002276 红黄金翼帽 80 4
1002277 绿黄金翼帽 80 4
1002278 黑黄金翼帽 80 4
1002281 褐天空之帽 70 8
1002282 蓝天空之帽 70 8
1002283 紫天空之帽 70 8
1002284 白天空之帽 70 8
1002285 红天空之帽 70 8
1002286 蓝司令帽 70 4
1002287 白黄司令帽 70 4
1002288 绿司令帽 70 4
1002289 黑司令帽 70 4
1002323 蓝扣带帽 90 8
1002324 褐扣带帽 90 8
1002325 紫扣带帽 90 8
1002326 红扣带帽 90 8
1002327 褐色海盗帽 80 8
1002328 绿色海盗帽 80 8
1002329 红色海盗帽 80 8
1002330 黑色海盗帽 80 8
1002338 赤龙头盔 80 1
1002339 蓝龙头盔 80 1
1002340 黑龙头盔 80 1
1002357 扎昆头盔 50 0
1002363 圣职帽(绿) 90 2
1002364 圣职帽(蓝) 90 2
1002365 圣职帽(红) 90 2
1002366 圣职帽(黑) 90 2
1002377 龙纹头盔(绿) 100 1
1002378 龙纹头盔(蓝) 100 1
1002379 龙纹头盔(黑) 100 1
1002380 侠盗帽(绿) 100 8
1002381 侠盗帽(蓝) 100 8
1002382 侠盗帽(红) 100 8
1002383 侠盗帽(黑) 100 8
1002390 真扎昆头盔 50 0
1002391 海盗头巾(绿) 10 0
1002392 海盗头巾(褐) 10 0
1002393 海盗头巾(粉) 10 0
1002394 海盗头巾(灰) 10 0
1002395 海盗头巾(紫) 10 0
1002398 杰斯特帽(绿) 100 2
1002399 杰斯特帽(蓝) 100 2
1002400 杰斯特帽(红) 100 2
1002401 杰斯特帽(黑) 100 2
1002402 鹰眼头盔(红) 90 4
1002403 鹰眼头盔(蓝) 90 4
1002404 鹰眼头盔(绿) 90 4
1002405 鹰眼头盔(黑) 90 4
1002406 飞羽帽(红) 100 4
1002407 飞羽帽(蓝) 100 4
1002408 飞羽帽(绿) 100 4
1002418 废报纸头盔 0 0
1002419 枫叶帽 0 0
1002424 红马术帽 5 0
1002425 蓝马术帽 5 0
1002430 扎昆头盔3 60 0
1002436 长老斯坦之帽 35 0
1002441 热血头带 25 0
1002448 海盗头巾(紫) 10 0
1002452 黑星白头巾 20 0
1002453 白星黑头巾 20 0
1002454 红星黑头巾 30 0
1002455 黑星红头巾 30 0
1002471 猎手帽子 60 0
1002483 鬼怪帽 65 0
1002492 白色棒球帽 20 0
1002508 枫叶头盔 0 0
1002509 枫叶头盔 8 0
1002510 枫叶头盔 30 0
1002511 枫叶头盔 70 0
1002515 枫叶白头巾 0 0
1002516 枫叶黄头巾 0 0
1002517 枫叶红头巾 30 0
1002518 枫叶蓝头巾 0 0
1002527 国庆日帽 0 0
1002528 绿色格莱西头盔 90 1
1002529 蓝色格莱西头盔 90 1
1002530 红色格莱西头盔 90 1
1002531 银色格莱西头盔 90 1
1002532 黑色格莱西头盔 90 1
1002547 红猎人帽子 110 4
1002550 黑色格莱西头盔 110 8
1002551 蓝龙头盔 110 1
1002553 创世头巾 0 0
1002554 武艺头绳 60 0
1002562 青苹果帽 0 0
1002571 普通海盗帽 60 0
1002572 海盗船长帽 70 0
1002573 海盗船长帽 80 0
1002574 海盗船长帽 90 0
1002577 扒手头巾 40 8
1002578 大力士钢盔 35 1
1002579 乐菲小丑帽 30 2
1002580 海盗船长头饰 35 4
1002584 旧红狗皮帽 20 0
1002585 蓝色烤栗贩帽子 20 0
1002586 紫色烤栗贩帽子 20 0
1002587 黑色烤栗贩帽子 20 0
1002600 枫叶红头巾 0 0
1002601 枫叶黄头巾 0 0
1002602 枫叶蓝头巾 0 0
1002603 枫叶白头巾 0 0
1002610 水手头巾 10 16
1002613 水手帽 15 16
1002616 水兵头巾 20 16
1002619 兵长头巾 25 16
1002622 水兵帽 30 16
1002625 海盗睡帽 35 16
1002628 三眼海盗帽 40 16
1002631 船头 50 16
1002634 骷髅巾 60 16
1002637 绞杀包头 70 16
1002640 冲锋帽 80 16
1002643 血海头巾 90 16
1002646 船长帽 100 16
1002649 大海盗 110 16
1002656 忍者白头巾 60 8
1002662 婚礼花头饰 0 0
1002663 可乐帽子 10 0
1002675 一个被修复的安德里守护着头饰;\n能延长携带者的生命与魔法。 35 0
1002676 一个古老的圣物。只有赐予可完美\n结合身心的勇者。 50 0
1002677 玩具匠人帽 40 0
1002699 万圣节南瓜帽子 10 0
1002707 假面绅士帽子 10 0
1002716 颠夜圣诞节帽 0 0
1002717 枫叶圣诞节帽 0 0
1002723 月饼帽 30 0
1002728 圣诞鹿角 10 0
1002737 小白鼠发带 10 0
1002739 戮魔猎手头盔 70 21
1002740 戮魔猎手护面 70 10
1002749 戮魔猎手头盔 50 4
1002750 戮魔猎手护面 50 8
1002757 football steel helmet 10 0
1002758 枫叶帽4 90 0
1002762 坎泰伦变身 0 0
1002763 菲尔变身 0 0
1002764 雅典娜变身 0 0
1002765 罗德变身 0 0
1002766 友里索变身 0 0
1002773 金龙头盔 110 2
1002776 #c突进 +1等级# 120 1
1002777 #c火凤球 +1等级\n冰凤球 +1等级\n圣灵之盾 +1等级# 120 2
1002778 #c火眼晶晶 +1等级# 120 4
1002779 #c挑衅 +1等级# 120 8
1002780 #c极速领域 +1等级\n导航辅助 +1等级# 120 16
1002788 褐色猫咪耳 30 0
1002790 #突进 + 1等级# 120 1
1002791 #c火凤球 +1等级\n冰凤球 +1等级\n圣灵之盾 +1等级# 120 2
1002792 #c火眼晶晶 +1等级# 120 4
1002793 #c挑衅 +1等级# 120 8
1002794 #c极速领域 +1等级\n导航辅助 +1等级# 120 16
1002797 工作人员N的一次性接收器 10 0
1002798 头顶年糕 15 0
1002800 工作人员N的接收器 30 0
1002801 Raven Ninja Bandana 60 0
1002812 月亮花朵发夹 0 0
1002850 圣诞鹿变身帽 0 0
1002851 金鸡官帽 10 0
1002856 安全帽 30 0
1002857 安全帽 60 0
1002858 盖福克斯的帽子(力量) 10 0
1002859 盖福克斯的帽子(敏捷) 0 0
1002860 盖福克斯的帽子(智力) 0 0
1002861 盖福克斯的帽子(幸运) 0 0
1002867 可使用15天。 10 0
1002869 骑士团初心者帽子 0 0
1002880 冲锋者头盔 0 0
1002881 冲锋者头盔 0 0
1002924 勇敢的小羊帽子 0 0
1002925 卑鄙的狼帽子 0 0
1002940 冲锋者头盔 120 4
1002947 口罩灵感来自邪恶黑乌鸦。 70 0
1002948 口罩灵感来自邪恶黑乌鸦。 70 0
1002949 口罩灵感来自邪恶黑乌鸦。 70 0
1002959 冲锋者头盔 0 0
1002967 晴天娃娃耳麦 0 0
1002971 玩具品克缤帽子 13 0
1002980 作为遗物大会参与奖奖品的考古学\n家帽子 13 0
1002981 进入遗物大会Top10后可以获\n得的考古学家帽子 13 0
1002990 企鹅王的蓝色战斗头盔 35 1
1002991 企鹅王的黑星魔法帽 35 2
1002992 企鹅王的红箭翎三角帽 35 4
1002993 企鹅王的黑防风帽 35 8
1002994 企鹅王的海盗睡帽 35 16
1003016 野狼头巾 70 0
1003023 暴力熊帽 80 0
1003024 暴力熊帽 80 0
1003025 心疤狮王帽 80 0
1003026 心疤狮王帽 80 0
1003027 送给新世界“'雪狼”最早的定居\n者的礼物。 20 0
1003031 印第安老斑鸠帽子 18 1
1003032 牛魔王帽子 18 2
1003033 沃勒福帽子 18 8
1003034 黑暗独角兽帽子 18 4
1003035 雪之猫女帽子 18 16
1003036 符咒独眼野猪帽子 25 0
1003039 时间旅行者头环 93 0
1003073 口罩灵感来自邪恶黑乌鸦。 13 0
1003075 白发箍 3 0
1003110 蓝色枫叶头巾 13 0
1003111 白色枫叶头巾 30 0
1003266 飘在头顶的石头 25 0
1003267 帅气海盗帽 100 0
1003270 活动黑色之翼帽子 0 0
1003283 深渊迷踪帽 125 8
1003286 无双玄妙帽 125 2
1003288 无双迷踪帽 125 8
1003293 斯卡班·雷昂头盔 125 8
1003300 飞侠绿帽 10 8
1003305 飞侠黑头巾 15 8
1003310 绿自由之帽 20 8
1003312 紫矿骑士头盔 25 1
1003314 红提贝之帽 25 8
1003315 兵长头巾 25 16
1003316 枪骑士头盔 30 1
1003319 褐假面帽 30 8
1003324 黑防风帽 35 8
1003329 黑海盗头巾 40 8
1003334 红黑太阳帽 50 8
1003336 将军青头盔 60 1
1003344 红天空之帽 70 8
1003391 鬼节南瓜帽 10 0
1003418 头顶一块年糕 30 0
1003419 头顶两块年糕 40 0
1003446 君主迅捷头箍 130 8
1003592 豪华赫尔巴斯头箍 130 8
1003604 月夜见尊的帽子 150 8
1003619 紫色高级帽子 60 8
1003773 皇家迅捷头箍 130 8
1003800 高贵刺客软帽 150 8
1003856 俗气的海盗船长帽 100 0
1003857 过时的海盗船长帽 100 0
1003858 贪婪的海盗船长帽 125 0
1004232 芬撒里尔追踪者帽 140 8
1004637 愤怒的扎昆头盔 150 0
1102000 绿色冒险披风 50 0
1102001 蓝色冒险披风 50 0
1102002 红色冒险披风 50 0
1102003 白色冒险披风 50 0
1102004 黑色冒险披风 50 0
1102011 蓝色守护披风 55 0
1102012 红色守护披风 55 0
1102013 白色守护披风 55 0
1102014 黑色守护披风 55 0
1102015 蓝色魔法披风 60 0
1102016 红色魔法披风 60 0
1102017 白色魔法披风 60 0
1102018 黑色魔法披风 60 0
1102021 蓝斗士披风 65 0
1102022 红斗士披风 65 0
1102023 白斗士披风 65 0
1102024 黑斗士披风 65 0
1102026 绿妖精披风 75 0
1102027 蓝妖精披风 75 0
1102028 红妖精披风 75 0
1102029 白妖精披风 75 0
1102030 黑妖精披风 75 0
1102031 绿龙纹披风 85 0
1102032 紫龙纹披风 85 0
1102033 红龙纹披风 85 0
1102034 蓝龙纹披风 85 0
1102035 黑龙纹披风 85 0
1102040 表示浪人的黄色披风 50 0
1102041 表示浪人的粉红披风 50 0
1102042 表示浪人的紫色披风 50 0
1102043 表示浪人的褐色披风 50 0
1102046 侯爵披风 95 0
1102047 伯爵披风 95 0
1102048 公爵披风 95 0
1102053 破披风 25 0
1102054 蓝魔力披风 42 0
1102055 小丑披风 42 0
1102056 恶魔之翼 42 0
1102057 小丑披风 100 0
1102061 氧气桶 30 0
1102064 兽皮披风 65 0
1102078 月食披风 75 0
1102079 破旧的红色披风 25 0
1102080 破旧的蓝色披风 25 0
1102081 破旧的黄色披风 25 0
1102082 破旧的黑色披风 25 0
1102083 破旧的红色披风 25 0
1102084 粉红盖亚披风 65 0
1102085 黄色盖亚披风 65 0
1102086 紫色盖亚披风 65 0
1102087 绿斗士披风 65 0
1102099 阿莫斯皇家披风 50 0
1102100 阿莫斯圣灵披风 50 0
1102101 传说的伊莱亚披风 1 65 0
1102102 传说的伊莱亚披风 2 65 0
1102103 传说的伊莱亚披风 3 65 0
1102104 希熙丽雅披风 1 65 0
1102105 希熙丽雅披风 2 65 0
1102106 希熙丽雅披风 3 65 0
1102109 表示浪人的褐色披风 35 0
1102135 证明蒙特鸠所属的上级炼金术士的\n披风 35 0
1102136 证明卡帕莱特所属的上级炼金术士\n的披风 35 0
1102139 证明蒙特鸠所属的上级炼金术士的\n披风 80 0
1102140 证明卡帕莱特所属的上级炼金术士\n的披风 80 0
1102143 扁担水桶披肩 0 0
1102145 阿超级强大的外衣，这提高了佩戴\n的速度，力量和运动的战斗。 50 0
1102146 神秘的开普敦基于格雷斯' Al\nien技术。最好穿的是精神毅力。 60 0
1102147 玩具匠人披风 40 0
1102165 塔鲁之魂斗篷 80 1
1102166 枫叶披风 20 0
1102167 枫叶披风 40 0
1102168 枫叶披风 70 0
1102172 永恒不灭披风 120 0
1102174 工作人员披风 10 0
1102176 Stirgeman角 20 0
1102177 Stirgeman褴褛的角 25 0
1102178 Stirgeman马可福音二角 35 0
1102179 角谷三Stirgeman 45 0
1102180 角谷四Stirgeman 50 0
1102181 Stirgeman的斗篷Wiliness 50 0
1102182 Stirgeman的斗篷黑暗 50 0
1102183 Stirgeman的斗篷司法 75 0
1102191 角Nathian 50 0
1102192 愤怒的El纳特 100 0
1102193 斗篷腐败 60 0
1102194 寿衣的扎库姆 120 0
1102205 绯红之心披风 90 0
1102206 黑色野兽披风 100 0
1102207 金魂披风 120 0
1102211 战神的披风 0 0
1102226 海军旧将披风 60 0
1102227 海军将校披风 70 0
1102236 神秘的开普敦基于格雷斯' Al\nien技术。最好穿的是精神毅力。 0 0
1040000 黄金铠甲 40 1
1040002 白棉T恤 0 0
1040003 褐色皮甲 20 4
1040004 蓝修炼服 8 2
1040006 白色背心 0 0
1040007 绿连帽弓箭手服 15 4
1040008 褐旅行服 10 4
1040009 铁胸甲 15 1
1040010 灰棉T恤 0 0
1040011 银连帽弓箭手服 15 4
1040012 蓝军官铠甲 20 1
1040013 白线青T恤 11 0
1040014 橙色运动T恤 11 0
1040015 褐战士甲 10 1
1040016 紫矿军官铠甲 25 1
1040017 灰修炼服 8 2
1040018 黑伽蓝 18 2
1040019 朱红伽藍 18 2
1040020 蓝伽藍 18 2
1040021 红龙服 30 1
1040022 绿打猎服 25 4
1040023 黑打猎服 25 4
1040024 蓝打猎服 25 4
1040025 红打猎服 25 4
1040026 绿龙服 30 1
1040028 苍天衣 32 1
1040029 青龙衣 35 1
1040030 金龙衣 35 1
1040031 青梦 10 8
1040032 红梦 10 8
1040033 黑梦 10 8
1040034 黑夜 15 8
1040035 青夜 15 8
1040036 海魂衫 0 0
1040037 青铜胸甲 15 1
1040038 蓝战士甲 10 1
1040039 红军官铠甲 20 1
1040040 银军官铠甲 25 1
1040041 黑军官铠甲 25 1
1040042 蓝唐衫 20 8
1040043 红唐衫 20 8
1040044 黑唐衫 20 8
1040048 褐敏捷之服 25 8
1040049 蓝敏捷之服 25 8
1040050 黑敏捷之服 25 8
1040057 黑褐寂靜之服 30 8
1040058 黑银寂靜之服 30 8
1040059 红金寂靜之服 30 8
1040060 银黑寂靜之服 30 8
1040061 绿暗影之服 35 8
1040062 红暗影之服 35 8
1040063 黑暗影之服 35 8
1040067 绿浪人之服 30 4
1040068 黑浪人之服 30 4
1040069 红浪人之服 30 4
1040070 蓝浪人之服 30 4
1040071 草色旅行服 10 4
1040072 红守护之服 35 4
1040073 蓝守护之服 35 4
1040074 绿守护之服 35 4
1040075 黑守护之服 35 4
1040076 褐守护之服 35 4
1040079 褐贵族之服 40 4
1040080 黑贵族之服 40 4
1040081 白贵族之服 40 4
1040082 树林之影 40 8
1040083 沧海之影 40 8
1040084 黑暗之影 40 8
1040085 紫金铠甲 40 1
1040086 青金铠甲 40 1
1040087 篮板金铠甲 50 1
1040088 褐板金铠甲 50 1
1040089 黑板金铠甲 50 1
1040090 绿钢玉铠甲 60 1
1040091 红钢玉铠甲 60 1
1040092 蓝钢玉铠甲 60 1
1040093 黑钢玉铠甲 60 1
1040094 赤阳 50 8
1040095 青阳 50 8
1040096 黄阳 50 8
1040097 绿阳 50 8
1040098 白飞影之服 60 8
1040099 黄飞影之服 60 8
1040100 黑飞影之服 60 8
1040102 青铜暴风甲 70 1
1040103 锂矿暴风甲 70 1
1040104 紫矿暴风甲 70 1
1040105 褐玄武之甲 70 8
1040106 蓝玄武之甲 70 8
1040107 黑玄武之甲 70 8
1040108 绿隐者之服 80 8
1040109 红隐者之服 80 8
1040110 黑隐者之服 80 8
1040111 绿色崇高服 90 1
1040112 蓝色崇高服 90 1
1040113 黑色崇高服 90 1
1040115 蓝扣带护甲 90 8
1040116 褐扣带护甲 90 8
1040117 紫扣带护甲 90 8
1040118 红扣带护甲 90 8
1040120 绿龙纹战甲 100 1
1040121 蓝龙纹战甲 100 1
1040122 黑龙纹战甲 100 1
1040145 企鹅王的金龙衣 35 1
1040146 企鹅王的黑守护之服 35 4
1040147 企鹅王的黑暗影之服 35 8
1041002 白色无袖短T 0 0
1041003 红色旗袍 20 8
1041004 星形短T 11 0
1041006 黄色短T 0 0
1041007 绿色旅行服 10 4
1041008 绿皮制旅行服 15 4
1041010 绿色短T 0 0
1041011 红线无袖衫 0 0
1041012 黄色红线短T 11 0
1041013 绿硬皮装 20 4
1041014 黄皮制铠甲 10 1
1041015 黑棉制紧身衣 8 2
1041016 绿棉制紧身衣 8 2
1041017 紫锦丝紧身衣 13 2
1041018 绿锦丝紧身衣 13 2
1041019 红十字军甲 20 1
1041020 绿十字军甲 20 1
1041021 褐十字军甲 20 1
1041022 蓝骑士甲 25 1
1041023 天蓝骑士甲 25 1
1041024 红骑士甲 25 1
1041025 粉红锦丝紧身衣 13 2
1041026 黄锦丝紧身衣 13 2
1041027 红硬皮装 20 4
1041028 紫硬皮装 20 4
1041029 黑伽蓝 18 2
1041030 红伽蓝 18 2
1041031 紫伽蓝 18 2
1041032 绿打猎服 25 4
1041033 红打猎服 25 4
1041034 蓝打猎服 25 4
1041035 黄打猎服 25 4
1041036 红梦 10 8
1041037 青梦 10 8
1041038 黑梦 10 8
1041039 粉红旗袍 20 8
1041040 蓝色旗袍 20 8
1041041 紫色妖精之服 28 2
1041042 绿色妖精之服 28 2
1041043 蓝色妖精之服 28 2
1041044 赤夜 15 8
1041045 黄夜 15 8
1041046 粉红无袖衫 0 0
1041047 红寂靜之服 30 8
1041048 黑寂靜之服 30 8
1041049 蓝寂靜之服 30 8
1041050 紫寂靜之服 30 8
1041051 红神圣法衣 33 2
1041052 蓝神圣法衣 33 2
1041053 黑神圣法衣 33 2
1041054 绿浪人之服 30 4
1041055 黑浪人之服 30 4
1041056 红浪人之服 30 4
1041057 黑敏捷之服 25 8
1041058 红敏捷之服 25 8
1041059 蓝敏捷之服 25 8
1041060 绿敏捷之服 25 8
1041061 黄旅行服 10 4
1041062 黄皮制旅行服 15 4
1041063 黑皮制旅行服 15 4
1041064 蓝皮制铠甲 10 1
1041065 红守护之服 35 4
1041066 蓝守护之服 35 4
1041067 绿守护之服 35 4
1041068 黑守护之服 35 4
1041069 褐守护之服 35 4
1041074 花精之影 40 8
1041075 火焰之影 40 8
1041076 深夜之影 40 8
1041077 紫月 50 8
1041078 青月 50 8
1041079 黄月 50 8
1041080 赤月 50 8
1041081 白女贵族服 40 4
1041082 褐女贵族服 40 4
1041083 黑女贵族服 40 4
1041084 红镇月铠甲 40 1
1041085 黄镇月铠甲 40 1
1041086 黑镇月铠甲 40 1
1041087 红将军铠甲 50 1
1041088 褐将军铠甲 50 1
1041089 黑将军铠甲 50 1
1041091 绿钢玉铠甲 60 1
1041092 红钢玉铠甲 60 1
1041093 蓝钢玉铠甲 60 1
1041094 灰飞影之服 60 8
1041095 赤飞影之服 60 8
1041096 黑飞影之服 60 8
1041097 蓝暴风甲 70 1
1041098 紫暴风甲 70 1
1041099 红暴风甲 70 1
1041100 紫朱雀之甲 70 8
1041101 蓝朱雀之甲 70 8
1041102 粉红朱雀之甲 70 8
1041103 红朱雀之甲 70 8
1041105 绿隐者之服 80 8
1041106 红隐者之服 80 8
1041107 黑隐者之服 80 8
1041115 蓝扣带护甲 90 8
1041116 褐扣带护甲 90 8
1041117 紫扣带护甲 90 8
1041118 红扣带护甲 90 8
1041119 绿贵族铠甲 90 1
1041120 紫贵族铠甲 90 1
1041121 黑贵族铠甲 90 1
1041122 绿龙纹战甲 100 1
1041123 蓝龙纹战甲 100 1
1041124 黑龙纹战甲 100 1
1041148 企鹅王的红骑士甲 35 1
1041149 企鹅王的褐守护之服 35 4
1041150 企鹅王的紫寂靜之服 35 8
1042003 维泽特西装 0 0
1042167 朴素的武士服 0 0
1050000 白十字锁子甲 35 1
1050001 褐贤者之袍 23 2
1050002 红魔力长袍 33 2
1050003 蓝祭司长袍 28 2
1050005 蓝剑道服 20 1
1050006 红剑道服 20 1
1050007 白剑道服 20 1
1050008 褐魔法袍 13 2
1050009 蓝魔法袍 13 2
1050010 绿魔法袍 13 2
1050011 黑龙袍 30 1
1050018 在桑拿房穿这件衣服，可以更快恢\n复1。5倍。 30 0
1050021 蓝十字锁子甲 35 1
1050022 黑十字锁子甲 35 1
1050023 蓝贤者之袍 23 2
1050024 黄贤者之袍 23 2
1050025 白贤者之袍 23 2
1050026 白祭司长袍 28 2
1050027 黑祭司长袍 28 2
1050028 绿祭司长袍 28 2
1050029 黑魔力长袍 33 2
1050030 蓝魔力长袍 33 2
1050031 白魔力长袍 33 2
1050035 褐星光长袍 38 2
1050036 红星光长袍 38 2
1050037 绿星光长袍 38 2
1050038 蓝星光长袍 38 2
1050039 黑星光长袍 38 2
1050045 蓝魔法战士衣 48 2
1050046 红魔法战士衣 48 2
1050047 朱红魔法战士衣 48 2
1050048 白魔法战士衣 48 2
1050049 黑魔法战士衣 48 2
1050051 赤仙白宫 50 4
1050052 青仙白宫 50 4
1050053 蓝圣党之服 58 2
1050054 红圣党之服 58 2
1050055 白圣党之服 58 2
1050056 黑圣党之服 58 2
1050058 朱旋风甲 60 4
1050059 青旋风甲 60 4
1050060 赤旋风甲 60 4
1050061 蓝飘云之衣 70 4
1050062 黄飘云之衣 70 4
1050063 绿飘云之衣 70 4
