id 名字 等级 是否BOSS 怪物类型 地图 掉落
2220100 蓝蘑菇 20 0 4 100000003,100000004,100030001,103030200,106010000,106010100,106010101,800010000 1002127,1002178,1002613,1002616,1002619,1040012,1041027,1051000,1060010,1061025,1072011,1072020,1302020,1332001,1332006,1382002,1412002,1412012,1432001,1442001,2000001,2000002,2000003,2002002,2022016,2040602,2044002,2060000,2061000,2381002,4000009,4001351,4010006,4020005,4020006,4030012,2022245,4031865,4031866 move,stand,jump,hit1,die1
2230100 火独眼兽 27 0 1 101020009,105040000,105040100,105060100,105070000,105070001,105070100,105070200,105070300,105070400 1002047,1032008,1032009,1040021,1040022,1041007,1041032,1041060,1050000,1050026,1051012,1060071,1061056,1062006,1302004,1302020,1382012,1422001,1432002,1482003,2000001,2000002,2000003,2002001,2040823,2044010,2044402,2060000,2061000,2381024,4000007,4001373,4010004,4020005,4020007,4030012,2022245,4031865,4031866 move,stand,jump,hit1,die1
2230101 僵尸蘑菇 24 0 7 102020300,105030000,105050000,105050100,105050101,105050200,105050300,105050400,105060000,105060100,105070000,105070001,105070002,106010100,107000500,107000501 1002005,1002035,1002158,1032000,1032004,1040009,1040021,1040026,1040044,1040048,1050030,1050031,1060018,1060038,1082062,1082183,1312007,1372003,1412002,1432003,1452001,1472030,1482020,1492003,2000001,2000002,2000003,2002000,2020028,2044302,2060000,2061000,2381016,4000008,4010002,4010003,4020003,4032399,2022245,4031865,4031866 move,stand,jump,hit1,die1
2230102 野猪 25 0 0 101030001,101030405,101030406,101040001,101040003,106000001,106000101 1002064,1002151,1002166,1002579,1032000,1032002,1040079,1041013,1041028,1051004,1051005,1060050,1060069,1061006,1061024,1072033,1072039,1072041,1072085,1082186,1332025,1382017,1402006,1412005,1412011,1432003,1432012,1452005,1452016,1452022,1462004,1462014,1472009,1472032,2000001,2000003,2002004,2060000,2061000,2330001,2381022,4000020,4000021,4001372,4003004,4006001,4007001,4010003,4020004,4031155,2022245,4031865,4031866 move,stand,jump,hit1,die1
2230103 绿蜘蛛 23 0 8 221021900,221022000,221022100,221022300,221022900,221023000,221023100,221023700,221023800 1002020,1050023,1072288,1072291,1082017,1302003,1312003,1322022,1332020,1332025,1382009,1402010,1462003,2000000,2000001,2000003,2002006,2040319,2040900,2044114,2044802,2060000,2061000,2070000,2381011,4000097,4004003,4010003,4030012,4030016,4031072,4131000,2022245,4031865,4031866 regen,stand,hit1,die1
2230104 红蜘蛛 28 0 8 221022300,221022900 1002162,1041041,1050028,1052104,1061034,1082042,1082043,1302020,1332010,1382002,1452016,2000002,2000003,2002007,2040601,2040929,2043112,2060000,2061000,2070002,2381027,4000098,4004002,4010001,4010002,4131010,2022245,4031865,4031866 regen,stand,hit1,die1
2230105 小海马 23 0 3 230030001,230030100,230030200 1032005,1041042,1050011,1061035,1072007,1072046,1082016,1312003,1322004,1322022,1492002,2000001,2000003,2002004,2040617,2040900,2043015,2060000,2061000,2070000,2381013,4000161,4004003,4010001,4030012,4031259,4131000,2022245,4031865,4031866 move,stand,hit1,die1
2230106 大海马 25 0 3 230030000,230030001 1002146,1002158,1040040,1041040,1041050,1052104,1060060,1061033,1061046,1072051,1322023,1332009,1332013,1442014,2000001,2000003,2002001,2002005,2040001,2040401,2040417,2060000,2061000,2381021,4000163,4004003,4010003,4020004,4031260,4031269,2022245,4031865,4031866 move,stand,hit1,die1
2230107 独角小丑鱼 24 0 0 230030000,230030100 1040024,1041034,1041051,1041058,1050029,1061047,1061054,1062006,1072051,1072288,1082026,1092030,1332004,1402000,2000001,2000003,2002000,2041004,2043110,2044302,2060000,2061000,2381017,4000162,4010002,4020005,2022245,4031865,4031866 fly,hit1,die1
2230108 海胆 22 0 0 230030100,230030200 1002119,1002131,1032004,1041027,1050024,1051005,1052101,1061025,1072054,1072065,1402000,2000001,2000003,2002003,2040623,2044202,2060000,2061000,2381009,4000160,4006001,4010000,4020007,4031261,2022245,4031865,4031866 stand,attack1,hit1,die1
2230109 蓝泡泡翻车鱼 28 0 0 230020200,230020300 1002034,1002065,1002619,1032007,1040041,1050021,1051007,1060030,1060051,1072027,1072054,1322024,1372003,1442011,2000002,2000003,2002002,2040701,2040707,2040801,2060000,2061000,2070002,2381026,4000164,4004002,4006000,4010001,4010004,4020003,4031209,4031264,4131010,2022245,4031865,4031866 fly,hit1,die1
2230110 木面怪人 23 0 6 101030101,101030102,101030103 1002058,1002121,1002131,1002616,1040020,1060014,1072053,1072087,1082006,1082026,1082043,1332010,1472030,2000001,2000003,2002003,2040501,2040805,2040901,2041016,2044312,2044805,2060000,2061000,2330000,2381014,4000196,4010000,4020001,4020002,4030012,4032146,2022245,4031865,4031866 move,stand,hit1,die1
2230111 石面怪人 24 0 6 101030102,101030103 1040042,1041023,1060031,1061019,1082006,1082049,1082051,1302002,1372004,1452005,1482002,2000001,2000003,2002000,2040301,2043801,2044301,2060000,2061000,2381018,4000197,4010001,4010005,4020003,4032147,2022245,4031865,4031866 move,stand,hit1,die1
2230131 生气的僵尸蘑菇 24 0 7 105050000,105050100,105050200,105050300 1002035,1002158,1032000,1032004,1040009,1040021,1040026,1040048,1050030,1050031,1060018,1060038,1082183,1312007,1372003,1412002,1432003,1452001,1492003,2000001,2000002,2000003,2002000,2044302,2060000,2061000,2381083,4000008,4010002,4010003,4020003,4032321,4032399,2022245,4031865,4031866 move,stand,jump,hit1,die1
2230200 花花青鲇鱼 29 0 3 230020101,230020200,230020300 1002160,1040062,1040072,1060051,1060061,1072086,1072291,1322024,1412000,1412006,1422001,1462000,2000001,2000003,2040501,2044601,2060000,2061000,2381029,4000165,4004000,4006000,4010006,4020002,4031209,4031262,2022245,4031865,4031866 stand,move,hit1,die1
2300100 蝙蝠 20 0 0 103000102,103000103,103000104,105050400,105060000 1002119,1040009,1040043,1041039,1052098,1052101,1060009,1060032,1061041,1082002,1332025,1452005,1472030,2000001,2000003,2010004,2040024,2041002,2043112,2044801,2048004,2060000,2061000,2381003,4000042,4003004,4010001,4020000,2022245,4031865,4031866 fly,hit1,die1
3000000 石球 30 0 8 200080500,200080600,200080700,200080800 1002137,1002622,1032006,1040021,1040061,1060017,1060050,1082037,1312005,1312016,1382009,1382018,2000001,2000003,2040316,2040620,2041005,2041016,2060000,2061000,2381032,4000063,4004000,4006000,4010002,4020004,2022245,4031865,4031866 move,stand,attack1,hit1,die1
3000001 蝴蝶精 30 0 5 200020000,200040000,200050000,200080000 2000001,2000003,2050000,2050001,2050002,2050003,2050004,2381033,4000068,4010002,4020004,2022245,4031865,4031866 move,skill1,stand,hit1,die1
3000005 玩具棕熊 30 0 8 197000000,197010000,220010000,220010100,220010200,220010400,220010500,220010600,220010700 1002013,1040058,1041058,1050030,1052107,1060044,1061054,1072101,1082007,1082046,1302030,1322014,1422014,1462000,1472014,2000002,2000003,2040701,2060000,2061000,2381034,4000106,4004001,4010001,4020000,4131003,2022245,4031865,4031866 move,stand,jump,hit1,die1
3000006 大龙虾 30 0 3 230020100,230020101 1040040,1041052,1050002,1060060,1061048,1072086,1072103,1082005,1082046,1082189,1382017,1462000,1492021,2000002,2000003,2040422,2040530,2040601,2060000,2061000,2381035,4000166,4004001,4010005,4020001,4031209,4131003,2022245,4031865,4031866 move,stand,hit1,die1
3100101 沙漠矮人 32 0 5 260020200,260020300,260020400 1002156,1002622,1032007,1040000,1060075,1072078,1082046,1332020,1332025,1402010,2000002,2000003,2044701,2060000,2061000,2382008,4000334,4006000,4010005,4010007,4020000,4130005,4130009,2022245,4031865,4031866 move,stand,hit1,die1
3100102 秃鹫先生 30 0 2 260020200,260020300,260020400 1002181,1041052,1050022,1061048,1072294,1082069,1462004,1472011,2000002,2000003,2040401,2041018,2060000,2061000,2381036,4000335,4003004,4006000,4010007,4020002,2022245,4031865,4031866 move,stand,hit1,die1
3110100 鳄鱼 32 0 1 107000000,107000100,107000200,107000300 1002622,1041051,1051013,1061047,1061078,1072112,1082046,1082049,1092012,1322009,1332014,1382009,1422001,1432005,1442011,1442024,1442028,2000002,2000003,2000004,2041002,2044802,2382002,4000032,4006000,4007005,4010002,4020002,4031164,4031405,4130002,4130008,4130010,2022245,4031865,4031866 move,stand,hit1,die1
3110101 玩具粉熊 32 0 8 197010000,220010100,220010200,220010300,220010400,220010500,220010600,220010700,220010800,220010900 1040062,1041055,1050002,1050030,1060051,1061051,1072077,1072090,1082007,1082035,1082189,1092007,1462004,1472014,2000002,2000003,2002009,2041017,2043200,2044012,2060000,2061000,2330001,2382004,4000107,4004001,4020001,4030014,4031527,4130002,4130019,4131001,2022245,4031865,4031866 move,stand,jump,hit1,die1
3110102 玩具白鼠 32 0 8 221020000,221020100,221024100,221024200,221024300,221024400 1002145,1002164,1002173,1040029,1060020,1072035,1072294,1082051,1082068,1302030,1312006,1322016,1332009,1382012,2000002,2000003,2044210,2044401,2060000,2061000,2382005,4000021,4000095,4004000,4007001,4007007,4010001,4010005,4020002,4031129,4130003,4130004,4130011,4131002,2022245,4031865,4031866 move,stand,hit1,die1
3110300 魔方 32 0 8 261010001,261010002 1002156,1032007,1040000,1060075,1072078,1072294,1082046,1332020,1402010,2000002,2000003,2040530,2044410,2044701,2060000,2061000,2382009,4000353,4006000,4007000,4007004,4007006,4010005,4010007,4020000,4130002,4130009,4130013,2022245,4031865,4031866 move,stand,hit1,die1
3110301 红色沙漠矮人 32 0 5 260020610,260020620 1002156,1032007,1040000,1060075,1072078,1082046,1082189,1332020,1402010,2000002,2000003,2040420,2044701,2060000,2061000,2382010,4000352,4006000,4010005,4010007,4020000,4130001,4130006,2022245,4031865,4031866 move,stand,attack1,hit1,die1
3110302 黑妖苗苗 35 0 8 261010001,261010002,261010003 1002025,1002143,1002180,1040021,1040063,1040079,1051025,1060016,1060052,1060069,1072297,1322003,1432003,2000002,2000003,2002005,2040324,2044210,2044502,2060000,2061000,2382024,4000356,4007003,4010005,4020006,4031694,4130010,4130015,2022245,4031865,4031866 move,stand,hit1,die1
3110303 黑妖苗苗兄弟 38 0 8 261010002,261010003 1002167,1002183,1032018,1040084,1040086,1041076,1060073,1060075,1061071,1072000,1072129,1072297,1082010,1082082,1082085,1382018,1432003,1462005,1472012,1472030,2000002,2000003,2002005,2040302,2040417,2044112,2044310,2044809,2060000,2061000,2330001,2382036,4000356,4004003,4010001,4020005,4031694,4130001,4130002,4130016,2022245,4031865,4031866 move,stand,hit1,die1
3210100 火野猪 32 0 0 106000001,106000002,106000101,106000110 1002141,1002178,1040026,1052107,1060019,1072079,1072091,1072103,1082044,1082052,1332020,1372003,1372012,1382009,1452005,1462005,1472012,1472032,2000001,2000002,2000003,2070001,2070003,2382003,4000021,4000024,4001000,4006001,4007001,4007003,4010001,4010002,4020000,4020007,4130011,4130016,4130017,2022245,4031865,4031866 move,stand,jump,hit1,die1
3210200 幼红独角狮 33 0 0 200010100,200010110 1002038,1002086,1002145,1002174,1032008,1040061,1040073,1050035,1050036,1052107,1060062,1072002,1072041,1072069,1072112,1082042,1082043,1082073,1322009,1332014,1412006,1462005,1472030,2000002,2000003,2044701,2050003,2050099,2070001,2382011,4000021,4000073,4001006,4003004,4004000,4006000,4007000,4007001,4007006,4020000,4020001,4030012,4130007,4130016,4130021,2022245,4031865,4031866 move,stand,jump,hit1,die1
3210201 幼黄独角狮 33 0 0 200010100,200010120 1002172,1050036,1051016,1051024,1072083,1072089,1082070,1332012,1442001,1472013,1492004,2000002,2000003,2043114,2044501,2050099,2070003,2382012,4000021,4000073,4001006,4003004,4004001,4006000,4006001,4010002,4020003,4020007,4030012,4031524,4130003,4130004,4130012,2022245,4031865,4031866 move,stand,jump,hit1,die1
3210202 幼蓝独角狮 33 0 0 200010100,200010130 1002037,1002163,1002628,1032011,1040028,1041053,1041066,1060020,1061049,1061061,1082045,1302017,1322015,1332001,1492004,2000002,2000003,2041016,2043110,2043701,2044807,2070003,2382013,4000021,4000073,4003004,4004001,4004003,4006000,4010001,4020005,4030012,4130006,4130012,2022245,4031865,4031866 move,stand,jump,hit1,die1
3210203 玩具熊猫 36 0 8 220011000,220020100,220020200,220020300,220020400,220020500,220030200,220030300,220030400 1002153,1002166,1040021,1050039,1051006,1060018,1072080,1072114,1072115,1072126,1082025,1312007,1332031,1482005,2000002,2000003,2002008,2040923,2043212,2044501,2060000,2061000,2382025,4000108,4004003,4010002,4030015,4130003,4131009,2022245,4031865,4031866 move,stand,jump,hit1,die1
3210204 玩具鸭 34 0 8 220010300,220010800,220010900,220011000 1002004,1040060,1040070,1050021,1050031,1052110,1060044,1060046,1060059,1072002,1082053,1082071,1332011,2000002,2000003,2040617,2043202,2060000,2061000,2382015,4000109,4003004,4003005,4004002,4010004,4020006,4130000,4130015,4130017,2022245,4031865,4031866 move,stand,hit1,die1
3210205 玩具黑鼠 34 0 8 221020100,221020200,221020300,221020400,221023700,221023800,221023900,221024000,221024100,221024200 1002048,1002136,1040057,1040076,1041043,1050037,1051015,1052113,1060043,1060065,1061036,1082075,1082192,1382019,1412011,2000002,2000003,2002010,2040703,2050001,2060000,2061000,2382016,4000021,4000096,4004002,4007005,4007007,4020005,4031093,4130001,4130004,4130005,4130007,4130014,2022245,4031865,4031866 move,stand,hit1,die1
3210206 直升机 36 0 0 221022600,221022700,221023200,221023300,221023500,221023600 1002168,1002179,1002207,1002212,1040000,1040081,1051026,1051032,1060000,1060070,1072003,1072036,1072082,1072103,1072132,1332020,1492005,2000002,2000003,2043001,2060000,2061000,2070003,2382026,4000103,4004000,4010003,4020005,4020008,4130015,4130016,4131006,2022245,4031865,4031866 fly,hit1,die1
3210207 计时啾啾 34 0 5 220040200 1002139,1002178,1041069,1050038,1061064,1072076,1072107,1072297,1082024,1082048,1082055,1372001,1412005,1452006,2000002,2000003,2041018,2043102,2043214,2060000,2061000,2070008,2382017,4000113,4004000,4020000,4020002,4020007,4031992,4130007,4130008,4131011,2022245,4031865,4031866 move,stand,hit1,die1
3210208 水老鼠 36 0 8 222020100,222020200,222020300 1002048,1002173,1032008,1041052,1041065,1051008,1052110,1061048,1061060,1072117,1072127,1082072,1082076,1082195,1382018,1452022,2000002,2000003,2002005,2044501,2060000,2061000,2382028,4000168,4004003,4007002,4007004,4010002,4030012,4031279,4130003,4130006,4130008,4131009,2022245,4031865,4031866 move,stand,hit1,die1
3210450 潜水企鹅 36 0 0 200082300,230010000,230010001 1002023,1002137,1002163,1002625,1032010,1040062,1041042,1041050,1051015,1060045,1060051,1061035,1072110,1072119,1082063,1302004,1332014,1332031,2000002,2000003,2022040,2060000,2061000,2330001,2382027,4000153,4007004,4020000,4020001,4130000,4130014,4130017,4131008,2022245,4031865,4031866 move,stand,hit1,die1
